title	wiki_id	booksummaries_index
Fifty Shades Darker (Fifty Shades, #2)	-1	-1
The Poisonwood Bible	878757	1771
Me Talk Pretty One Day	-1	-1
Where the Wild Things Are	1229351	2250
The Count of Monte Cristo	82163	342
The Road	7402039	7950
Allegiant (Divergent, #3)	-1	-1
Bossypants	-1	-1
A Walk to Remember	19918431	13086
Confessions of a Shopaholic (Shopaholic, #1)	-1	-1
Les Misérables	61489	234
A Clash of Kings  (A Song of Ice and Fire, #2)	713590	1526
The Memory Keeper's Daughter	7911644	8250
Me Before You (Me Before You, #1)	-1	-1
Catch-22	55469	185
Tuesdays with Morrie	920695	1835
Middlesex	889073	1784
The Adventures of Tom Sawyer	-1	-1
A Wrinkle in Time (A Wrinkle in Time Quintet, #1)	562222	1271
The Joy Luck Club	699430	1507
The Handmaid's Tale	165026	485
The Sisterhood of the Traveling Pants (Sisterhood, #1)	1599634	2731
Lolita	19614202	12976
Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)	-1	-1
The Firm (Penguin Readers, Level 5)	933137	1854
Room	28755850	15498
Hamlet	13554	43
Dune (Dune Chronicles #1)	71416	298
The Tipping Point: How Little Things Can Make a Big Difference	-1	-1
Steve Jobs	-1	-1
One Flew Over the Cuckoo's Nest	2531453	3739
The Old Man and the Sea	161502	472
The Grapes of Wrath	42645	123
The Five People You Meet in Heaven	1196343	2214
Anne of Green Gables (Anne of Green Gables, #1)	58406	193
City of Glass (The Mortal Instruments, #3)	22216108	13839
A Storm of Swords (A Song of Ice and Fire, #3)	713625	1527
Divine Secrets of the Ya-Ya Sisterhood	2133642	3320
Outlander (Outlander, #1)	3012644	4217
The Scarlet Letter	277696	758
Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)	-1	-1
The Girl Who Kicked the Hornet's Nest (Millennium, #3)	23404033	14191
The Martian	-1	-1
The Pillars of the Earth (The Kingsbridge Series, #1)	1194427	2207
All the Light We Cannot See	-1	-1
Unbroken: A World War II Story of Survival, Resilience, and Redemption	-1	-1
Deception Point	-1	-1
The Goldfinch	-1	-1
Thirteen Reasons Why	23869776	14332
Girl with a Pearl Earring	-1	-1
If I Stay (If I Stay, #1)	28411923	15451
The Red Tent	3552124	4747
The Sea of Monsters (Percy Jackson and the Olympians, #2)	7906594	8243
Dear John	-1	-1
City of Ashes (The Mortal Instruments, #2)	21811766	13718
Macbeth	18866	51
The Two Towers (The Lord of the Rings, #2)	63750	248
Something Borrowed (Darcy & Rachel, #1)	21796996	13708
Green Eggs and Ham	-1	-1
Charlie and the Chocolate Factory (Charlie Bucket, #1)	57766	192
The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)	15011992	11441
Great Expectations	-1	-1
The Return of the King (The Lord of the Rings, #3)	63751	249
The Stranger	45896	147
The Lost Hero (The Heroes of Olympus, #1)	27796919	15339
Eleanor & Park	-1	-1
A Feast for Crows (A Song of Ice and Fire, #4)	796676	1640
Matched (Matched, #1)	-1	-1
American Gods (American Gods, #1)	182128	533
The Stand	288153	768
The Last Song	23817576	14312
Digital Fortress	944096	1865
Emma	57344	191
Anna Karenina	159941	461
A Clockwork Orange	843	1
The Shack	17328064	12184
The Last Olympian (Percy Jackson and the Olympians, #5)	20007123	13121
It	271590	745
Crime and Punishment	133874	392
The Bell Jar	199525	579
Angela's Ashes (Frank McCourt, #1)	244486	696
Siddhartha	330523	855
In Cold Blood	-1	-1
Beautiful Creatures (Caster Chronicles, #1)	34890405	16525
Clockwork Angel (The Infernal Devices, #1)	31879966	16134
Matilda	472089	1120
The Night Circus	33314889	16335
The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)	-1	-1
Uglies (Uglies, #1)	6324034	7262
A Dance with Dragons (A Song of Ice and Fire, #5)	2202702	3384
The Lord of the Rings (The Lord of the Rings, #1-3)	29798	78
Wild: From Lost to Found on the Pacific Crest Trail	-1	-1
Watchmen	-1	-1
The Name of the Wind (The Kingkiller Chronicle, #1)	12814208	10510
Outliers: The Story of Success	-1	-1
Moby-Dick or, The Whale	19859	53
The Guernsey Literary and Potato Peel Pie Society	31485389	16018
Fight Club	23854860	14325
Dead Until Dark (Sookie Stackhouse, #1)	21243200	13546
The Color Purple	43168	129
Marley and Me: Life and Love With the World's Worst Dog	4928676	6013
And Then There Were None	-1	-1
The Lost Symbol (Robert Langdon, #3)	2041080	3200
Hush, Hush (Hush, Hush, #1)	26674455	15073
Beautiful Disaster (Beautiful, #1)	-1	-1
A Christmas Carol	73670	312
Interview with the Vampire (The Vampire Chronicles, #1)	79120	329
The Selection (The Selection, #1)	-1	-1
One for the Money (Stephanie Plum, #1)	3385082	4589
The Immortal Life of Henrietta Lacks	-1	-1
The Silence of the Lambs  (Hannibal Lecter, #2)	4608346	5703
Vampire Academy (Vampire Academy, #1)	-1	-1
Blink: The Power of Thinking Without Thinking	-1	-1
Atonement	1890954	3044
The Metamorphosis	10862	34
The Titan's Curse (Percy Jackson and the Olympians, #3)	7504806	8016
Ready Player One	32903764	16288
The Art of Racing in the Rain	-1	-1
The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America	-1	-1
Bared to You (Crossfire, #1)	-1	-1
The Chronicles of Narnia (Chronicles of Narnia, #1-7)	-1	-1
Twilight: The Complete Illustrated Movie Companion	-1	-1
A Child Called It (Dave Pelzer #1)	23454753	14207
The Bourne Identity (Jason Bourne, #1)	397398	997
Artemis Fowl (Artemis Fowl, #1)	-1	-1
Fallen (Fallen, #1)	-1	-1
East of Eden	161446	471
Dark Places	30976827	15872
The Client	3563571	4763
The Nanny Diaries (Nanny, #1)	-1	-1
Alice's Adventures in Wonderland & Through the Looking-Glass	52853	166
Persuasion	347822	894
Sarah's Key	-1	-1
The Gunslinger (The Dark Tower, #1)	63987	252
Love in the Time of Cholera	1022544	1971
Speak	540888	1234
The Husband's Secret	-1	-1
Into Thin Air: A Personal Account of the Mount Everest Disaster	-1	-1
Carrie	67003	272
Running with Scissors	-1	-1
World War Z: An Oral History of the Zombie War	5575042	6726
Inferno (Robert Langdon, #4)	-1	-1
Number the Stars	1804983	2929
Along Came a Spider (Alex Cross, #1)	-1	-1
Misery	386568	979
Sharp Objects	-1	-1
Bridge to Terabithia	441838	1073
Marked (House of Night, #1)	33230852	16321
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change	-1	-1
A Midsummer Night's Dream	610437	1352
Extremely Loud and Incredibly Close	1779024	2903
Wonder	-1	-1
The Cat in the Hat	-1	-1
Cinder (The Lunar Chronicles, #1)	32856399	16282
The Cuckoo's Calling (Cormoran Strike, #1)	-1	-1
Shiver (The Wolves of Mercy Falls, #1)	-1	-1
Atlas Shrugged	18951386	12736
Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time	-1	-1
Alice in Wonderland	52853	166
The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)	3832478	5024
The Scorch Trials (Maze Runner, #2)	29022842	15553
How to Win Friends and Influence People	-1	-1
Under the Tuscan Sun	-1	-1
Big Little Lies	-1	-1
Ella Enchanted	891623	1789
The Sun Also Rises	360245	925
A Tree Grows in Brooklyn	1364178	2427
Kiss the Girls (Alex Cross, #2)	5319397	6413
The Nightingale	-1	-1
Never Let Me Go	1697748	2827
P.S. I Love You	-1	-1
Rebecca	1259759	2293
Flowers for Algernon	17253525	12157
Like Water for Chocolate	3596990	4784
Snow Flower and the Secret Fan	17271493	12162
The Godfather	-1	-1
An Abundance of Katherines	10023921	9373
Foundation (Foundation #1)	-1	-1
The Ocean at the End of the Lane	-1	-1
A Light in the Attic	33527608	16364
Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8)	-1	-1
Delirium (Delirium, #1)	-1	-1
The Pelican Brief	-1	-1
Coraline	78799	326
Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch	78797	325
On the Road	7402039	7950
The Rosie Project (Don Tillman, #1)	-1	-1
The Lucky One	19902875	13076
The Fountainhead	180464	529
The Hunt for Red October (Jack Ryan Universe, #4)	30761	89
Watership Down (Watership Down, #1)	67317	275
Is Everyone Hanging Out Without Me? (And Other Concerns)	-1	-1
Cutting for Stone	-1	-1
The Voyage of the Dawn Treader (Chronicles of Narnia, #3)	427310	1057
Treasure Island	167963	494
The Son of Neptune (The Heroes of Olympus, #2)	29179339	15578
11/22/1963	31058296	15891
The Very Hungry Caterpillar Board Book	1553175	2675
Cat's Cradle	82287	343
The Time Machine	29834	80
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back	-1	-1
The Boy in the Striped Pajamas	5205080	6278
Heart of Darkness	13535	42
Safe Haven	-1	-1
The Secret (The Secret, #1)	-1	-1
I Know This Much Is True	3574282	4767
Pet Sematary	535144	1219
She's Come Undone	3608386	4827
The Wise Man's Fear (The Kingkiller Chronicle, #2)	23563172	14252
Can You Keep a Secret?	-1	-1
City of Fallen Angels (The Mortal Instruments, #4)	27532695	15285
Good in Bed (Cannie Shapiro, #1)	25812499	14873
The Thorn Birds	381491	968
The Graveyard Book	10876585	9699
The Light Between Oceans	-1	-1
Inkheart (Inkworld, #1)	1519093	2636
Who Moved My Cheese?	-1	-1
A Walk in the Woods	-1	-1
I Know Why the Caged Bird Sings	1219913	2243
Orphan Train	-1	-1
City of Lost Souls (The Mortal Instruments, #5)	-1	-1
Where'd You Go, Bernadette	-1	-1
Where the Red Fern Grows	1301931	2362
Neverwhere	10125728	9410
The Unbearable Lightness of Being	-1	-1
Fangirl	-1	-1
A Prayer for Owen Meany	412654	1022
White Oleander	594829	1325
Legend (Legend, #1)	-1	-1
Nineteen Minutes	10614529	9587
The Last Lecture	-1	-1
The Eye of the World (Wheel of Time, #1)	42572	118
The Pact	-1	-1
The Magician's Nephew (Chronicles of Narnia, #6)	53071	168
Still Alice	-1	-1
Reflected in You (Crossfire, #2)	-1	-1
James and the Giant Peach	894970	1796
1st to Die (Women's Murder Club, #1)	13881203	10987
The Ultimate Hitchhiker's Guide to the Galaxy	478921	1139
One Day	25170748	14711
Goodnight Moon	188341	552
I Am Number Four (Lorien Legacies, #1)	30841087	15834
The Iliad	19381951	12904
The Casual Vacancy	35471510	16532
The Runaway Jury	752068	1593
Naked	265114	733
Eldest (The Inheritance Cycle, #2)	711958	1519
The Wonderful Wizard of Oz (Oz, #1)	54436	181
Prince Caspian (Chronicles of Narnia, #2)	242128	689
We Were Liars	-1	-1
'Salem's Lot	395037	993
Fear and Loathing in Las Vegas	-1	-1
Clockwork Prince (The Infernal Devices, #2)	-1	-1
Yes Please	-1	-1
Othello	917616	1833
Beloved	1268726	2309
Graceling (Graceling Realm, #1)	22293380	13862
The Bad Beginning (A Series of Unfortunate Events, #1)	664290	1462
All Quiet on the Western Front	2152	5
Oh, The Places You'll Go!	-1	-1
And the Mountains Echoed	-1	-1
Do Androids Dream of Electric Sheep?	-1	-1
Oliver Twist	161301	470
The Screwtape Letters	30709	87
Anna and the French Kiss (Anna and the French Kiss, #1)	-1	-1
How the Grinch Stole Christmas!	-1	-1
V for Vendetta	-1	-1
John Adams	-1	-1
Odd Thomas (Odd Thomas, #1)	1137787	2134
The Subtle Knife (His Dark Materials, #2)	420985	1039
Stargirl (Stargirl, #1)	3083277	4289
The Red Pyramid (Kane Chronicles, #1)	27979753	15365
Stranger in a Strange Land	53595	174
Dress Your Family in Corduroy and Denim	-1	-1
The BFG	231716	663
A Short History of Nearly Everything	-1	-1
The Call of the Wild	358335	922
The Death Cure (Maze Runner, #3)	33701149	16390
Stardust	182433	534
The Namesake	-1	-1
A Discovery of Witches (All Souls Trilogy, #1)	-1	-1
Norwegian Wood	-1	-1
Where the Heart Is	3608396	4828
Will Grayson, Will Grayson	26533595	15051
A Million Little Pieces	2770911	3987
Frostbite (Vampire Academy, #2)	16781602	11975
Quiet: The Power of Introverts in a World That Can't Stop Talking	-1	-1
Island of the Blue Dolphins (Island of the Blue Dolphins, #1)	876994	1767
The Crucible	-1	-1
Hatchet (Brian's Saga, #1)	1225812	2245
The Final Empire (Mistborn, #1)	6216269	7207
The Strange Case of Dr. Jekyll and Mr. Hyde	-1	-1
The Lorax	-1	-1
Diary of a Wimpy Kid (Diary of a Wimpy Kid, #1)	-1	-1
Throne of Glass (Throne of Glass, #1)	-1	-1
Shadow Kiss (Vampire Academy, #3)	24977554	14657
For Whom the Bell Tolls	77652	321
Hotel on the Corner of Bitter and Sweet	-1	-1
Perfume: The Story of a Murderer	-1	-1
Fast Food Nation: The Dark Side of the All-American Meal	159063	458
The Tales of Beedle the Bard	-1	-1
Neuromancer	21725	55
A Farewell to Arms	61069	229
The Tell-Tale Heart and Other Writings	3433040	4643
The Art of War	-1	-1
Defending Jacob	-1	-1
Breakfast of Champions	303439	795
The New Drawing on the Right Side of the Brain	-1	-1
Bel Canto	5740888	6862
Guns, Germs, and Steel: The Fates of Human Societies	106086	382
Fried Green Tomatoes at the Whistle Stop Cafe	699520	1508
Things Fall Apart (The African Trilogy, #1)	438390	1068
The Undomestic Goddess	25019372	14666
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate	-1	-1
The Three Musketeers	217046	622
Little Bee	-1	-1
Evermore (The Immortals, #1)	23344986	14179
The Witches	635510	1411
The Thirteenth Tale	8841014	8750
Spirit Bound (Vampire Academy, #5)	25496797	14796
Blood Promise (Vampire Academy, #4)	20767082	13392
Message in a Bottle	2530403	3738
The Paris Wife	-1	-1
Harry Potter Boxset (Harry Potter, #1-7)	-1	-1
The Elite (The Selection, #2)	-1	-1
The Name of the Rose	186397	546
Go Ask Alice	216924	621
A Confederacy of Dunces	-1	-1
The Importance of Being Earnest	-1	-1
The Mark of Athena (The Heroes of Olympus, #3)	33355795	16343
The Color of Magic (Discworld, #1; Rincewind #1)	328689	850
Kafka on the Shore	1769858	2892
Red Dragon (Hannibal Lecter, #1)	5306304	6391
I, Robot (Robot #0.1)	-1	-1
Dark Lover (Black Dagger Brotherhood, #1)	-1	-1
Crescendo (Hush, Hush, #2)	31080252	15906
Before I Fall	-1	-1
The God of Small Things	323063	845
The Invention of Wings	-1	-1
What Alice Forgot	-1	-1
A Brief History of Time	-1	-1
Fall of Giants (The Century Trilogy, #1)	28270460	15426
Under the Dome	18042052	12448
Snow Crash	-1	-1
Just Listen	11651402	10038
Winnie-the-Pooh (Winnie-the-Pooh, #1)	750630	1585
Before I Go to Sleep	32860050	16283
A Study in Scarlet	224500	640
Brisingr (The Inheritance Cycle, #3)	2998715	4205
The Purpose Driven Life: What on Earth Am I Here for?	-1	-1
Betrayed (House of Night, #2)	33247807	16323
Storm Front (The Dresden Files, #1)	8600119	8583
Northanger Abbey	41522	115
The 5th Wave (The 5th Wave, #1)	-1	-1
Cold Mountain	4632423	5737
If You Give a Mouse a Cookie	-1	-1
Something Blue (Darcy & Rachel, #2)	21796996	13708
A Streetcar Named Desire	-1	-1
The Historian	2578185	3797
Station Eleven	-1	-1
A Man Called Ove	-1	-1
Clockwork Princess (The Infernal Devices, #3)	-1	-1
The Good Earth (House of Earth, #1)	410134	1017
Ways of Seeing	-1	-1
Dragonfly in Amber (Outlander, #2)	3172541	4369
Holy Bible: King James Version	-1	-1
In Her Shoes	18619336	12611
The Hobbit: Graphic Novel	-1	-1
The Brief Wondrous Life of Oscar Wao	13726089	10890
Their Eyes Were Watching God	-1	-1
Fantastic Beasts and Where to Find Them	-1	-1
I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban	-1	-1
Mansfield Park	3345384	4548
Man's Search for Meaning	-1	-1
In the Woods (Dublin Murder Squad, #1)	-1	-1
The God Delusion	-1	-1
Where She Went (If I Stay, #2)	28411923	15451
The World According to Garp	44472	136
Killing Floor (Jack Reacher, #1)	9633523	9182
Robinson Crusoe	55483	186
The Prince	2270723	3447
The Amber Spyglass (His Dark Materials, #3)	530285	1207
Wizard's First Rule (Sword of Truth, #1)	697395	1505
The Kitchen House	7956168	8284
Franny and Zooey	652919	1435
Choke	69485	285
The Brothers Karamazov	607536	1346
The City of Ember (Book of Ember, #1)	1093821	2072
The Andromeda Strain	48573	157
The Green Mile	64029	262
The Prophet	3289597	4490
Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1)	349114	898
Untamed (House of Night, #4)	16274299	11813
Speaker for the Dead (Ender's Saga, #2)	28230	74
Mere Christianity	5043452	6113
The Secret History	1678384	2812
A Heartbreaking Work of Staggering Genius	-1	-1
The Clan of the Cave Bear (Earth's Children, #1)	1106246	2090
Black Beauty	380143	965
War and Peace	155311	426
American Psycho	5359189	6463
The Princess Diaries (The Princess Diaries, #1)	-1	-1
The No. 1 Ladies' Detective Agency  (No. 1 Ladies' Detective Agency, #1)	-1	-1
The Walking Dead, Vol. 01: Days Gone Bye	-1	-1
2001: A Space Odyssey (Space Odyssey, #1)	1660387	2786
Redeeming Love	13737962	10899
Left Behind (Left Behind, #1)	-1	-1
The One (The Selection, #3)	2531453	3739
The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)	-1	-1
Nickel and Dimed: On (Not) Getting By in America	-1	-1
Remember Me?	-1	-1
The Great Hunt (Wheel of Time, #2)	42573	119
Postmortem (Kay Scarpetta, #1)	4533526	5619
The Complete Stories and Poems	-1	-1
The Hiding Place: The Triumphant True Story of Corrie Ten Boom	-1	-1
The Adventures of Sherlock Holmes	-1	-1
The Prince of Tides	22950159	14062
The Amazing Adventures of Kavalier & Clay	842685	1697
Perfect Chemistry (Perfect Chemistry, #1)	-1	-1
Peter Pan	18960109	12738
Pretties (Uglies, #2)	7093297	7752
The Wind-Up Bird Chronicle	1440034	2540
The Lincoln Lawyer (Mickey Haller, #1; Harry Bosch Universe, #16)	-1	-1
Cloud Atlas	1544083	2662
The Things They Carried	-1	-1
Wall and Piece	-1	-1
Pandemonium (Delirium, #2)	-1	-1
Darkly Dreaming Dexter (Dexter, #1)	7688547	8099
Living Dead in Dallas (Sookie Stackhouse, #2)	21315197	13575
The Dragon Reborn (Wheel of Time, #3)	549558	1257
Gulliver's Travels	43023	128
Much Ado About Nothing	8781048	8717
Beowulf	-1	-1
Batman: Year One	-1	-1
Go Set a Watchman	-1	-1
When You Are Engulfed in Flames	-1	-1
Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)	-1	-1
Red Queen (Red Queen, #1)	-1	-1
The Power of Habit: Why We Do What We Do in Life and Business	-1	-1
Midnight in the Garden of Good and Evil	-1	-1
Hopeless (Hopeless, #1)	-1	-1
A Little Princess	1164368	2169
The Truth About Forever	2072053	3223
The Horse and His Boy (Chronicles of Narnia, #5)	421106	1040
Last Sacrifice (Vampire Academy, #6)	27518176	15278
Little House on the Prairie (Little House, #2)	-1	-1
The Velveteen Rabbit	210455	605
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values	-1	-1
The War of the Worlds	32688947	16258
Pretty Little Liars (Pretty Little Liars, #1)	-1	-1
Corduroy	19591210	12968
The Omnivore's Dilemma: A Natural History of Four Meals	19591210	12968
Life After Life	-1	-1
The Rescue	-1	-1
Needful Things	868230	1753
Voyager (Outlander, #3)	-1	-1
Hamlet: Screenplay, Introduction And Film Diary	-1	-1
Cujo	236599	676
The Virgin Suicides	80124	335
Dead to the World (Sookie Stackhouse, #4)	21629798	13647
Tess of the D'Urbervilles	-1	-1
Madame Bovary	-1	-1
The Phantom Tollbooth	178842	524
The Way of Kings (The Stormlight Archive, #1)	24957772	14655
Club Dead (Sookie Stackhouse, #3)	-1	-1
It's Kind of a Funny Story	11423191	9960
The Well of Ascension (Mistborn, #2)	12835753	10520
After You (Me Before You, #2)	-1	-1
The Language of Flowers	-1	-1
Batman: The Dark Knight Returns (The Dark Knight Saga, #1)	-1	-1
The Angel Experiment (Maximum Ride, #1)	-1	-1
High Fidelity	-1	-1
The Guardian	24015984	14405
Oryx and Crake (MaddAddam, #1)	537049	1225
Men Are from Mars, Women Are from Venus	-1	-1
Kitchen Confidential: Adventures in the Culinary Underbelly	-1	-1
Timeline	1298672	2357
Candide	6629	22
Tuck Everlasting	5085908	6155
Christine	320387	840
Are You My Mother?	-1	-1
The Story of Art	-1	-1
Scarlet (The Lunar Chronicles, #2)	-1	-1
Rich Dad, Poor Dad	16541064	11894
Silence (Hush, Hush, #3)	11513635	9977
The Magicians (The Magicians #1)	23986473	14398
Death Note, Vol. 1: Boredom (Death Note, #1)	-1	-1
A Great and Terrible Beauty (Gemma Doyle, #1)	5162233	6224
Everything Is Illuminated	-1	-1
The Bourne Supremacy (Jason Bourne, #2)	901796	1811
Easy (Contours of the Heart, #1)	21072948	13495
David Copperfield	63110	244
The Absolutely True Diary of a Part-Time Indian	15894908	11667
The Master and Margarita	333987	863
A Wizard of Earthsea (Earthsea Cycle, #1)	2890	6
Because of Winn-Dixie	1524981	2641
A Separate Peace	661719	1456
The Rainmaker	-1	-1
Don Quixote	8237	27
Assassin's Apprentice (Farseer Trilogy, #1)	840200	1690
The Restaurant at the End of the Universe (Hitchhiker's Guide, #2)	202349	590
Torment (Fallen, #2)	31871586	16133
The Tale of Peter Rabbit	67317	275
The Silver Chair (Chronicles of Narnia, #4)	427317	1058
The Hero of Ages (Mistborn, #3)	19467792	12935
Girl, Interrupted	168639	499
Are You There, Vodka? It's Me, Chelsea	-1	-1
Jonathan Livingston Seagull	45232	145
City of Heavenly Fire (The Mortal Instruments, #6)	-1	-1
Love You Forever	-1	-1
Cell	3562073	4761
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics	-1	-1
The Silmarillion (Middle-Earth Universe)	27866702	15348
The Drawing of the Three (The Dark Tower, #2)	63985	251
The Forgotten Garden	-1	-1
The Trial	10861	33
This Lullaby	401627	1004
Plain Truth	3433133	4645
Orange Is the New Black	843	1
The Hound of the Baskervilles	30280	84
Thinking, Fast and Slow	-1	-1
The Mists of Avalon (Avalon, #1)	421473	1042
Are You There God? It's Me, Margaret	576114	1304
Nights in Rodanthe	19931129	13089
Mr. Mercedes (Bill Hodges Trilogy, #1)	-1	-1
All Together Dead (Sookie Stackhouse, #7)	22357290	13891
Midwives	3608409	4829
The Polar Express	982237	1920
The True Story of the 3 Little Pigs	1101747	2083
Patriot Games (Jack Ryan Universe, #2)	924814	1842
Veronika Decides to Die	1471009	2570
Lean In: Women, Work, and the Will to Lead	-1	-1
Dead as a Doornail (Sookie Stackhouse, #5)	22346498	13884
Shatter Me (Shatter Me, #1)	-1	-1
Starship Troopers	28426	75
I've Got Your Number	-1	-1
Sophie's World	797758	1642
The Twilight Saga Breaking Dawn Part 1: The Official Illustrated Movie Companion (The Twilight Saga: The Official Illustrated Movie Companion, #4)	-1	-1
The Martian Chronicles	-1	-1
A Visit from the Goon Squad	-1	-1
Heidi	204817	595
Prey	367519	938
The Last Battle (Chronicles of Narnia, #7)	353210	911
World Without End (The Kingsbridge Series, #2)	9682847	9211
Chosen (House of Night, #3)	-1	-1
Slammed (Slammed, #1)	-1	-1
Beastly (Beastly, #1; Kendra Chronicles, #1)	5629681	6766
The Canterbury Tales	-1	-1
Baby Proof	10876585	9699
Inheritance (The Inheritance Cycle, #4)	14029788	11048
1Q84	23008930	14081
Uncle Tom's Cabin	71989	303
The Phantom of the Opera	-1	-1
Definitely Dead (Sookie Stackhouse, #6)	22346664	13885
Blindness	248364	703
Freedom	23857044	14327
Crossed (Matched, #2)	-1	-1
I'd Tell You I Love You, But Then I'd Have to Kill You (Gallagher Girls, #1)	5631897	6769
The White Tiger	-1	-1
The Corrections	29055790	15555
Dreams from My Father: A Story of Race and Inheritance	-1	-1
Congo	608748	1347
Alexander and the Terrible, Horrible, No Good, Very Bad Day	-1	-1
Interpreter of Maladies	-1	-1
A People's History of the United States	-1	-1
Breakfast at Tiffany's	6961605	7652
