isbn,length
1844080382,429
156030306,311
552995878,224
812968069,269
451205766,450
525476881,227
553803719,244
62255657,-1
60513063,-1
751565350,-1
61726834,-1
385339704,-1
61139378,-1
60853980,-1
140042598,310
1476729085,304
446579939,-1
451191153,704
425172902,432
038039586X,478
307886263,-1
375414495,-1
006112527X,256
753453800,-1
1423140591,513
1451627289,849
241003008,-1
140285601,192
451528557,-1
849946158,162
385751060,215
1892295490,200
044654759X,-1
1582701709,198
60987561,-1
1416524347,576
671021001,465
756404738,-1
440241901,374
1442403543,-1
743418174,-1
380018179,692
60530928,-1
1451681739,-1
439709105,563
91883768,-1
307279464,416
553279378,246
61950726,-1
1442416866,-1
316204277,330
375806814,-1
60557818,-1
571224385,-1
,-1
552135399,599
316182540,496
039925675X,-1
743496728,455
1401323251,224
812511816,814
61150142,-1
60764902,-1
595440096,300
425263916,-1
375814248,146
446696617,432
345453743,815
340896965,437
60775858,-1
61969559,-1
140275363,683
316228532,503
385339690,464
316777730,291
375840400,679
140621679,-1
000720230X,240
,-1
450031063,496
679785892,204
1416975888,-1
62268341,-1
743477553,368
1400033411,321
015206396X,-1
439206472,-1
449213943,295
679805273,48
159463176X,-1
345404475,244
141439742,553
60652896,-1
525423273,-1
7173040,-1
1401207928,286
743223136,751
553384287,383
679879250,326
439488400,-1
1423113381,-1
441788386,-1
965904830,-1
141311371,208
076790818X,544
439227143,192
385738773,-1
61142026,-1
618485228,291
670022411,-1
375704027,298
446672211,376
525421580,-1
307276902,-1
1595141758,256
307352145,333
440439884,184
142437336,143
689840926,195
076531178X,-1
451528956,139
679889108,72
810993139,217
1599906953,-1
1595141979,-1
684803356,-1
345505336,-1
140120831,263
60838582,-1
747599874,108
441569595,271
99910101,-1
553212281,419
1590302257,224
385344228,-1
385334206,302
874774241,-1
60838728,-1
739467352,-1
375508414,403
385474547,209
385338694,-1
1881273156,175
,-1
1416589643,304
031253275X,-1
590032496,-1
743298020,406
1595142509,496
1595141987,-1
446676071,-1
345521307,-1
545044251,-1
62059963,-1
156001314,536
1416914633,224
802130208,394
158049580X,75
1423140605,-1
60855924,-1
1400079276,480
525945563,-1
553803700,224
451216954,-1
1416989439,-1
61726818,-1
679457313,321
670024783,-1
141043768,-1
553380168,-1
525951652,-1
1439148503,-1
553380958,440
670061050,371
525467564,161
62060554,-1
1420925539,-1
375826726,-1
310276993,334
312360282,320
451457811,-1
1593082649,288
399162410,-1
802142842,331
60245867,-1
312323867,-1
822210894,107
751537284,720
385353308,-1
1476738017,-1
1406321346,-1
1416500189,415
140135154,166
385335970,752
,-1
743495667,-1
345368584,-1
1594489580,339
61120065,-1
439321603,42
316322407,-1
141439807,507
080701429X,165
670038601,429
618680004,406
525422943,-1
345915593,-1
515141429,432
375757325,294
937832383,-1
440238153,480
765346524,848
1439153663,-1
316769029,208
385720920,293
374528373,796
375822747,270
60541814,-1
451933028,592
000100039X,133
394541553,159
312379838,-1
812550757,382
684823780,191
1400031702,557
375725784,484
553381679,451
439228905,245
192833987,387
679735771,399
613371658,-1
1400034779,235
1582406723,-1
451457994,320
1590525132,479
842342702,-1
62059998,-1
545265355,-1
805063897,240
593053893,346
812517725,705
743477154,342
385074077,821
553256696,241
192835084,389
553381547,679
312282990,639
802798233,-1
805072454,176
689865392,370
965341984,-1
739465511,404
375507256,509
767902890,273
1844137872,-1
006197806X,-1
307277887,304
1841493007,288
765305119,624
141439491,305
743482751,-1
393320979,213
1401207529,96
62409859,-1
316143472,323
316134023,418
1409151174,-1
1400069289,-1
679751521,386
1301949825,-1
142437018,242
142406252,-1
439861365,-1
1595143068,-1
64400026,-1
380002558,40
60589469,-1
375759239,189
60887303,-1
670241334,-1
1594200823,450
316176486,-1
446696129,352
045057458X,-1
385335997,880
393315053,208
307348245,400
747560595,224
441012183,320
141439599,517
192840398,329
394820371,256
765326353,1008
1841493015,288
078685197X,-1
765316889,592
,-1
034552554X,-1
156389341X,197
446617792,464
1573225517,323
446696110,400
385721676,376
60574216,-1
60899220,-1
99244721,-1
486266893,94
374480095,144
2253147699,-1
1713221,-1
071483355X,688
312642962,-1
751532711,224
1442426640,-1
670020559,-1
1421501686,221
689875347,-1
60529709,-1
752863886,679
425266745,-1
140439447,974
316013684,240
679760806,-1
553383043,192
763616052,182
743253973,208
385339607,561
142437239,1023
6480098,-1
345418921,250
385739141,-1
723247706,80
64405044,-1
765316897,-1
679746048,168
61173398,-1
743278909,112
1481426303,-1
920668372,-1
1416524517,480
067002581X,404
618391118,386
451210859,480
330449605,-1
99428644,-1
142501557,345
743275012,416
385523386,298
451528018,-1
374275637,-1
345350499,876
689841582,149
446612707,222
1476754454,-1
441014941,323
375706771,374
395389496,-1
140544518,32
425134350,503
61124265,-1
385349947,-1
441013333,310
62085484,-1
441783589,272
385342063,-1
1857993284,403
316134112,139
553278223,-1
307592839,-1
753454947,352
61015725,-1
7202326,-1
525950079,1014
312360304,307
,-1
60874163,-1
140424385,528
312348649,340
375856110,-1
307593312,-1
1840224029,480
60809248,-1
441014917,352
156007754,352
374158460,-1
142421715,-1
1423100034,-1
1416562591,304
1841156736,-1
1921351438,-1
60541830,-1
689711735,32
618101365,208
60838655,-1
679745653,178
345504968,766
60515198,-1
670011940,-1
159420571X,-1
553383809,433
451155750,402
646418432,124
425200450,336
307271080,477
446611085,289
451167805,401
425263924,-1
307266303,287
1616203218,-1
590133373,48
1585424331,302
60885378,-1
765356155,1024
446696137,352
1423146727,608
61448761,-1
446615862,-1
743226720,386
330419129,-1
61928127,-1
307237699,375
743455967,297
312364083,496
345418972,371
312348673,352
316206873,455
345476883,560
62049801,-1
374533571,-1
076072850X,-1
743272498,-1
151009988,216
1843913720,-1
067102423X,732
786226749,1064
451190750,318
014044906X,248
60739495,-1
60589280,-1
316767727,320
031610969X,309
1416912045,352
385335989,896
399256768,-1
074348276X,384
435233076,117
446579920,272
545422906,-1
,-1
452287588,315
1591164419,200
1451666179,384
812513738,1008
192076920X,-1
441015891,368
670032565,422
451188454,427
375408266,-1
805047905,26
553283685,481
142000698,87
61007226,-1
031612558X,-1
067976402X,460
440174643,729
930289455,48
679732764,-1
374105235,229
689862202,240
751514624,560
60529962,-1
143035479,288
,-1
380813815,444
1577314808,235
399159010,-1
553804677,499
64471837,-1
441017150,-1
1439102767,-1
1620610078,-1
345418905,232
1619630621,420
1932664084,-1
1416586288,-1
61020680,-1
373210086,-1
067168390X,945
393324826,304
1595143173,-1
765342405,-1
385342020,-1
340606517,429
452287065,215
1416563687,415
345350685,460
1563892278,-1
345465083,457
038073186X,385
553328255,944
198320272,128
307408841,448
140449140,416
074347757X,304
312642970,-1
006621131X,278
714836257,503
767905180,384
451527887,510
140003065X,624
836220889,127
689865406,372
543898083,196
031237982X,-1
1401303277,197
425144372,-1
60513098,-1
61992704,-1
2020336464,-1
553803727,244
1878424505,168
743296435,532
394709306,863
744583276,-1
1476727651,531
140285679,320
,-1
1434768511,205
7173687,-1
,-1
553213873,240
052595127X,-1
446563080,-1
1591826039,196
743482832,272
1905654944,-1
340829788,896
385351399,491
439813786,533
60776099,-1
1591169151,-1
778316556,-1
,-1
1250049377,-1
1905654588,-1
375706674,-1
7230206,-1
006441034X,336
2226131906,684
691096120,-1
571225381,272
446547654,-1
224094157,150
312938993,320
1580495931,80
1400067111,314
143039091,197
,-1
037571457X,-1
1420925431,120
316084239,-1
067001088X,432
399151575,294
385339666,632
,-1
1569319006,-1
812993292,-1
307931889,-1
312861877,394
743477561,288
440178002,1210
451219368,448
1619634449,-1
345803574,-1
068983568X,-1
545132053,214
151010269,385
140286276,464
345457374,353
60288140,-1
374214913,-1
743496310,-1
,-1
590452037,184
99285444,-1
743482778,272
385732562,215
014240120X,192
345539788,-1
316033677,-1
812474945,-1
1476712980,-1
765326361,1087
076360013X,24
440221668,979
450042685,409
1400064562,311
393328627,272
142402494,160
1933372605,-1
743270754,944
441018645,-1
679720219,308
439206480,190
145162137X,-1
61214655,-1
039515023X,56
525457585,396
571212921,-1
1884365302,335
61662690,-1
684853949,243
006074815X,339
1860498809,-1
1594747350,-1
375727345,365
356500152,-1
067973225X,267
747532036,61
451218043,449
553803735,241
451458125,-1
316204366,-1
1591169208,-1
61020648,-1
1400078431,227
006112429X,432
1857231589,252
345419626,464
159308143X,336
199291152,360
142001430,308
446612731,482
452281253,256
1936305623,-1
689707495,32
1400068932,-1
425227510,343
074349671X,-1
1423140567,-1
765348276,-1
831727527,-1
140255559,-1
684818701,1136
60510862,-1
8497597729,-1
812971060,-1
575079797,544
786851473,398
743225422,337
1607747308,231
385755880,388
671011367,-1
552562521,-1
374203059,-1
61120251,-1
1476789630,-1
689865198,-1
545424925,409
031286504X,317
140006208X,288
081299499X,-1
66620996,-1
803734611,-1
,-1
439236193,252
141651693X,960
440238609,-1
1480095532,426
006222543X,-1
525426582,-1
312305060,230
1623420024,-1
316191299,-1
451188462,-1
385739168,-1
385742886,-1
144477851X,-1
375726403,483
1857232097,928
803734964,-1
009928264X,304
385338708,358
1416524525,845
316070521,163
440241812,323
393316041,350
545123283,-1
553609416,-1
142437344,384
765302306,783
451529170,892
,-1
385339100,-1
345538374,-1
146109111X,-1
446350982,421
045052468X,468
316001929,-1
374292795,600
385743564,-1
1558580093,-1
553213970,211
61583251,-1
679740678,259
393322238,687
793551617,96
812970063,528
670023485,592
345544927,416
441013813,-1
786838922,302
812976142,498
812993543,-1
140424393,453
393072231,-1
1416524290,272
1406311529,-1
765325942,-1
553266306,384
307463745,288
525951989,-1
739352350,-1
679644199,360
312965788,437
,-1
312966091,396
1576469239,-1
037582913X,-1
425193799,132
805094598,358
770437850,-1
399256776,-1
2266079999,569
525423281,338
375703861,464
62107062,-1
1582346186,213
61974552,-1
1594488398,-1
836218051,254
067001821X,384
1439152802,-1
696215322,576
330491237,176
140282580,-1
055381706X,-1
670026611,-1
6480101,-1
345347951,212
763625299,272
60852550,-1
1619630656,-1
812513754,1011
385342306,-1
785263705,243
385340397,-1
1484724917,-1
1250069793,-1
1607066017,-1
316126691,-1
99285045,-1
1590385810,368
64407683,-1
451458443,-1
743264738,675
1476717486,-1
385339097,384
014034893X,276
1594743347,319
316154695,275
679642420,667
671746723,320
810994739,224
804138141,-1
62285688,-1
1594206279,277
61992259,-1
393050327,256
765350378,638
1406310255,-1
312199430,-1
743296419,-1
1416521496,560
525423664,-1
99578514,-1
1400049628,-1
440234743,533
1579126251,288
1416924981,160
1594201455,256
440995779,223
,-1
440241898,406
141439610,671
316349933,-1
1416968237,-1
312966970,313
1573225789,314
60889578,-1
385339151,304
312857063,703
312554168,-1
141439831,-1
1857988841,224
2266047426,323
62414216,-1
1563899426,-1
142000280,267
446671002,246
803736991,-1
525952926,-1
385352107,-1
033041836X,254
140679239X,252
8129104598,270
425197549,368
375836675,-1
141439653,433
60855908,-1
038560310X,736
380718340,416
385537131,-1
312650248,-1
1583485090,-1
152061548,-1
713998946,240
800759494,207
1455520659,398
679776192,176
312995059,592
743496744,464
312423799,309
446613347,264
1101946342,-1
441172695,329
6280560,-1
1416528636,557
517092913,803
316075809,144
,-1
767905202,357
553213172,243
140047484,327
140620192,528
1451629184,273
,-1
752224417,96
62014536,-1
812550285,896
192840509,306
679728759,337
1442426675,-1
751504386,-1
99437961,-1
8129115301,269
1421508222,-1
451458923,-1
345484266,303
618968474,905
,-1
014100018X,306
553116606,-1
771068719,320
1936305550,-1
192839993,279
1400063736,-1
141321318,352
440236703,370
,-1
1423121309,336
761169253,-1
60512806,-1
1476730105,-1
60959037,-1
452282829,454
006097625X,224
316077054,-1
1594485755,-1
743454553,-1
330419641,576
312976275,294
1401322786,-1
60590270,-1
393324818,320
078681859X,462
446580503,230
688014291,111
553258478,599
068484477X,525
394758285,231
014200068X,181
446585025,-1
439272637,194
316175676,-1
,-1
810970686,-1
679433139,798
1405204265,176
1620610116,-1
62085530,-1
812968972,448
,-1
385354282,-1
081299860X,-1
1582349908,-1
60584750,-1
99549344,-1
451528352,-1
340837942,288
670021458,-1
330371231,336
1781162646,-1
1612620248,-1
068480154X,317
038531258X,391
811214044,-1
1609450787,331
307353133,-1
62515675,-1
670022691,335
575077026,208
399254129,-1
689818769,105
810983915,214
62065246,-1
,-1
006223742X,-1
385539258,-1
1563899809,-1
765330423,332
,-1
345452003,352
1442408928,-1
451528522,176
,-1
61122092,-1
1402726023,341
450542882,930
1937044963,-1
553213148,277
448405202,-1
399162097,310
765304740,352
679722769,783
142401773,288
312304358,389
99471426,-1
1581345283,375
,-1
1594634475,400
440243750,399
64400565,-1
380508567,-1
375708111,447
64408639,-1
312980140,357
61662763,-1
451459407,-1
152802177,-1
575077883,-1
345494997,-1
312983867,341
60566221,-1
446359408,480
375508325,365
1400032822,411
051722285X,530
1932416641,475
140003471X,120
582416396,85
805093079,-1
307265749,-1
142406635,249
067001110X,-1
385339674,384
553565699,692
451194004,320
375507779,652
812550293,704
140042520,244
1841497126,-1
1400067553,-1
152058109,209
553804685,-1
679734775,110
670018708,272
61245089,-1
141318309,96
60278250,-1
446612545,372
751504572,-1
441104029,408
1841499889,-1
1619636042,-1
679729771,24
140501827,-1
747267634,-1
312554192,-1
385495226,352
99448475,-1
670024856,501
1592402038,209
60572965,-1
399231900,-1
752898477,-1
61996165,-1
310226058,1728
812577566,1000
440421705,304
679729526,442
1594487367,-1
307265838,-1
553375407,263
1416995552,-1
373210493,403
439321611,64
395401461,32
451196716,370
60566213,-1
385732538,169
451412354,463
385516487,594
316057770,485
446579807,307
1301627445,-1
61015733,-1
316122386,-1
786836547,562
184243022X,277
156031663,-1
385340540,384
1595143971,-1
671250671,315
451459873,-1
807508527,154
143123238,-1
91940737,-1
,-1
297854399,608
676979343,352
316601950,293
140283307,320
743464117,480
785819118,703
1891830430,582
61374229,-1
345439104,338
876850867,196
679744398,302
1593082045,-1
1569319014,203
451450523,212
60577312,-1
689848919,251
670018864,448
307408868,448
812504690,173
1439177724,-1
872863107,57
073380084X,-1
1617750255,32
345418778,240
074325807X,586
385343833,-1
778324338,409
451222350,509
60502932,-1
967686563,779
451223292,240
045146091X,448
345539826,-1
055215430X,480
61020702,-1
316078573,688
62430874,-1
575077905,-1
1476770387,-1
679800034,64
393330478,339
60590165,-1
316155594,-1
316080845,-1
312642989,827
141439734,224
545457823,-1
345503805,-1
486426750,324
440241022,376
1423140575,406
1416552510,611
330448447,192
081257558X,800
451461037,496
451529553,237
618084746,359
,-1
441627404,639
552152978,389
385323069,245
618477942,232
006135323X,304
,-1
7148984,-1
765325950,912
1419701762,304
810984911,-1
312990227,682
60839783,-1
446696633,400
141014083,-1
142001805,374
345373944,-1
747571775,144
1573221112,322
1400065674,-1
385333137,288
62003933,-1
385339682,-1
1400032814,260
312985347,-1
439554004,-1
743236017,272
316926345,350
451461401,-1
62306812,-1
786915749,444
786849568,385
1416951172,417
399244557,-1
670025593,561
1585421464,-1
067084487X,-1
61147958,-1
679456724,656
385528779,434
312364121,-1
385339658,388
316067598,390
,-1
1579126278,-1
006083756X,504
316033650,-1
1907411054,-1
044669651X,-1
307887898,336
1595143181,-1
743290119,304
345335457,307
785136207,-1
671728687,-1
1594481938,-1
439706408,138
340640146,-1
515142247,434
316123528,-1
60878061,-1
61147931,-1
1419702238,215
316033669,689
1416543007,435
1862301387,416
140447571,287
1501132938,-1
553213296,-1
679736379,562
044024191X,385
373210132,-1
1576737330,93
812983602,-1
786868724,272
1400043468,-1
1922182109,-1
9380658797,-1
006117758X,283
375825444,-1
974320625,192
670035386,64
765354942,480
380727501,324
451461894,423
1607060760,-1
1599900734,-1
553496646,-1
486282228,82
62124269,-1
1590388984,464
140298479,338
067976397X,437
446698466,282
767903862,335
192123092,321
812992792,443
345300785,372
375714839,352
449213447,271
451171357,776
385528701,-1
786891084,503
64441555,-1
,-1
765326264,319
1595148035,446
451222725,542
62110837,-1
,-1
64410137,-1
143037617,-1
64431436,-1
044101268X,512
689878559,274
224085611,-1
1439199353,-1
451225856,-1
553288202,517
446698873,337
688120490,228
743246985,538
394800206,72
60885408,-1
1501100130,-1
61558230,-1
316184136,770
60935472,-1
1416553649,209
60899190,-1
7119550,-1
152047379,180
340818670,640
345544951,-1
037571894X,368
743246071,504
316133973,517
1842430351,342
399244573,-1
1423157370,-1
60832819,-1
1416560610,240
1846558913,-1
1844082938,-1
345501330,208
756410436,-1
,-1
451229851,-1
141001828,302
743289684,353
1400063515,366
345504984,624
374529523,182
553380966,455
60892994,-1
1580493882,80
1439138311,-1
1442409053,-1
62300547,-1
312864590,-1
1580495869,-1
544272994,303
765348780,666
7251866,-1
440401585,278
043977134X,311
1439102724,-1
345419634,448
446615625,606
316155608,-1
812551478,640
743272501,528
385683421,-1
385542364,306
786838930,311
373210183,363
988393506,-1
385535144,-1
143036378,220
525444440,180
316075558,-1
143036696,335
64440206,-1
64410129,-1
1423116399,287
1250121000,-1
345348109,355
425201392,320
786818611,-1
553214322,160
1620610094,-1
1934781630,351
141697170X,295
,-1
1453688935,321
679774386,592
1476791457,-1
1469216000,-1
99303744,-1
307959856,291
142437808,99
385720106,352
,-1
141693586X,32
553380648,416
802140181,289
156389226X,111
385337930,384
441007317,304
142412147,-1
1439192561,-1
805095152,282
553582917,436
446552445,-1
1406914835,88
375760377,937
413757102,346
375835318,-1
802132758,126
545259088,-1
1573226521,448
143145541,-1
575096578,-1
1416524355,608
192750968,160
141650964X,272
99556316,-1
553564943,485
312987854,-1
316548189,638
038553714X,-1
034541005X,518
752865331,224
312364423,-1
515128635,-1
055380491X,358
045146317X,448
670674249,-1
1416903569,672
140436588,496
312936222,340
446690457,608
61985848,-1
316087378,-1
61257095,-1
1590387422,456
1455806854,-1
307269191,-1
1416995587,-1
307268195,-1
014240165X,256
1590860624,-1
842377506,514
031613290X,-1
057507681X,224
1594488843,242
1416534733,454
1563894696,369
811201880,178
785268839,256
1606410423,535
312349486,-1
,-1
689845367,180
451462564,420
140439072,128
039921920X,32
096319254X,-1
385733585,256
689832133,32
441015662,304
765328658,-1
1423321677,-1
380714752,232
1565125967,-1
380729407,293
140003342X,-1
394298667,-1
802139256,-1
385517874,320
812565959,464
,-1
307021343,-1
440235596,648
1587263890,292
,-1
1423100050,236
441014739,304
451464400,-1
399154094,345
312330863,384
316921173,1088
,-1
812967127,228
62041266,-1
61922315,-1
375822070,81
9504915248,-1
141183535,112
,-1
1903436575,488
670012947,-1
1627792120,480
60541431,-1
849900417,237
1250049555,-1
812973011,336
,-1
7423292,-1
385265700,328
385333870,324
60872985,-1
689852231,380
1416523715,624
749935332,320
014303961X,363
043402080X,-1
140143459,249
451205367,144
743418719,-1
345403959,-1
575070706,912
1400067693,-1
553805487,290
045146379X,-1
1580495761,-1
141694740X,187
345468643,290
312349491,310
451529758,361
451219945,247
785264698,243
785121447,-1
,-1
670026638,-1
806527285,288
,-1
99448572,-1
385334141,268
006124189X,320
451526759,384
440416795,300
1594633118,-1
553588265,364
767919386,-1
60555955,-1
312948557,336
99489988,-1
143038109,416
1847241697,-1
61974587,-1
1593080646,688
385731051,373
425181103,434
1416990658,-1
1586608290,400
60012382,-1
385344430,825
039925482X,-1
,-1
190444248X,-1
671742515,307
804179034,448
,-1
804137250,-1
345503813,-1
7151667,-1
385339593,304
078670621X,282
60525118,-1
1101904224,-1
62310666,-1
385737424,-1
553381342,656
1101875046,401
553119222,-1
689862229,128
805094601,435
184343217X,519
1416971734,-1
6498523,-1
805448659,-1
743470125,376
330488902,-1
671035975,-1
515114693,385
60921145,-1
,-1
1416997857,-1
6479677,-1
3822858641,96
345416260,448
679776818,483
081257639X,800
1606412388,592
159420229X,-1
345443284,304
446613363,435
1423108361,400
059044297X,32
803734735,-1
803734956,275
61020664,-1
1301347949,-1
62200577,-1
140434747,535
965476022,-1
,-1
64410145,-1
8424133498,-1
983212546,-1
961454733,122
60085894,-1
452286034,448
312624670,-1
1844280136,40
545424941,439
141439637,656
486290727,53
486298574,70
1455561789,-1
,-1
836204387,-1
142401757,256
1616201320,-1
1596912855,208
1400044162,435
345498321,310
385523238,354
451197968,336
031242440X,247
006091307X,183
525953094,1098
1423121317,-1
8498000831,297
1857231511,736
99297701,-1
006114097X,492
60586133,-1
1416974520,-1
743466527,672
054522490X,-1
345539842,-1
441005764,384
1250077001,-1
312986343,192
553564935,498
1405910216,-1
1439164630,-1
671662341,252
765316994,-1
030720961X,649
61245097,-1
60890681,-1
61449067,-1
312349513,320
8129118807,-1
7174160,-1
60887338,-1
440800463,-1
446364800,464
1405206128,272
1569319472,181
451219422,272
312532768,289
446572993,-1
446402397,509
60987510,-1
425260933,-1
60527994,-1
1933718005,32
,-1
440339340,-1
307395987,-1
312979975,307
031601477X,320
743418735,368
081297235X,420
1401307450,465
3442723434,-1
425273865,-1
99427869,-1
316056634,-1
142422959,-1
1416953574,224
1439107955,592
1416940901,688
307278492,-1
031253955X,-1
1878424114,116
312315953,304
689878567,264
446614831,360
385480016,239
805092528,-1
031259044X,-1
553296124,404
689878575,384
042510687X,340
8176210773,-1
1594631573,-1
,-1
1857988094,160
015204566X,212
515130974,-1
425205819,368
553589172,566
7149824,-1
345528670,-1
439598389,32
593065700,-1
205313426,105
140620613,121
743294297,-1
786939532,343
156865054X,-1
307595862,-1
1590171993,278
1401308201,191
074348486X,320
1563892618,-1
451528921,224
374525641,341
1841496863,-1
159514319X,-1
385341652,388
316010707,399
345544110,-1
812984277,-1
1563892251,-1
689849109,287
1558745157,340
1490904387,-1
1439102759,-1
450610098,864
385341679,-1
385517831,373
547887205,394
1401248969,-1
,-1
802720854,-1
1595406557,-1
679781498,-1
393065782,-1
812972147,1104
670021873,-1
802122558,-1
60090383,-1
586008357,208
99448769,-1
380709244,158
575090855,-1
736693416,-1
375866590,-1
316074314,834
60244054,-1
553588257,460
316779423,196
552152951,289
1581345275,441
1400064287,-1
038000321X,398
143037749,-1
446691097,276
749932775,386
345335708,375
451233166,-1
,-1
1401323820,-1
,-1
345469011,576
7157150,-1
142404128,159
60266864,-1
684853159,184
140006788X,-1
080509329X,-1
385536976,-1
385733410,548
038533916X,303
385341636,-1
,-1
159474758X,-1
486424545,246
1593070942,-1
,-1
1423160916,512
140439242,280
143039989,182
684856476,204
60885432,-1
312181108,-1
1905654871,-1
312383282,308
61177598,-1
451200810,816
044101819X,342
752858491,720
6486010,-1
399167838,-1
515126772,368
140449337,-1
078684907X,451
143036556,592
679735909,555
1423102282,264
425143325,750
1566195764,-1
671685635,567
64410153,-1
076790382X,304
64410161,-1
143035746,320
193700788X,-1
000712774X,240
,-1
374104093,208
,-1
60775823,-1
553805371,-1
385517238,360
452277752,692
140006922X,-1
812551494,800
1590514637,-1
1857231384,471
671646788,192
345434803,457
,-1
6479901,-1
140382623,-1
054762834X,-1
1565075722,203
802131786,318
60393491,-1
61997811,-1
1600964338,86
345534182,-1
142000701,214
145161747X,-1
553804693,-1
1903434777,348
1444778536,-1
553804804,364
451208641,208
385517882,208
446692654,-1
1400076196,289
345466608,448
446364495,224
593057058,-1
385735294,-1
805090037,-1
545060397,220
28610105,-1
316003727,-1
486234118,57
743453255,256
679720227,147
1842430246,-1
375757856,496
,-1
60747226,-1
224081187,-1
449223604,337
751530484,440
618062416,58
,-1
60735414,-1
316038393,176
159285849X,137
62491792,-1
1423102266,-1
670175919,54
,-1
743289412,513
1451695195,208
61092193,-1
743291476,-1
575075066,464
034554689X,-1
553381660,483
525953485,351
192750976,192
1416974512,-1
375713344,347
015602764X,272
156004801,438
553375938,368
525950125,-1
1841492612,304
1444729705,-1
1501115065,-1
141659518X,-1
1592407331,-1
316243914,322
1573229725,582
679731148,207
763625892,-1
670022802,390
345298349,433
62207393,-1
439771277,-1
60851988,-1
1419705849,-1
1405258217,-1
1416903542,532
6472613,-1
425201449,368
60845546,-1
141026286,80
61345660,-1
072325804X,400
99771810,-1
1594634718,-1
451464397,-1
,-1
373772467,379
61474096,-1
60852577,-1
552154288,448
345435168,241
1451661509,269
552992097,520
425204669,320
051513628X,342
1416950052,672
785136223,-1
307932230,-1
7158505,-1
805053883,-1
3518367064,-1
385333471,288
1421505851,-1
,-1
439249546,-1
1597801577,361
140436065,431
525425632,-1
441014895,260
,-1
1400096278,431
140446745,528
61020672,-1
1932664122,-1
1401204252,200
144242673X,-1
1455559822,405
156512569X,336
871137380,386
765376458,400
385513534,339
